Steps out_loss reg_loss point_loss train_accuracy time memory
411 0.258 25.700 3.237 0.89 103.84 4307.3
412 0.173 25.688 3.175 0.94 103.97 4307.3
413 0.181 25.676 3.204 0.93 104.12 4307.3
414 0.164 25.664 3.140 0.94 104.26 4307.3
415 0.255 25.652 2.960 0.90 104.36 4307.3
417 0.241 25.640 3.055 0.90 106.09 4307.3
418 0.154 25.628 3.014 0.94 106.25 4307.3
419 0.160 25.616 3.096 0.93 106.38 4307.3
420 0.216 25.604 2.908 0.92 106.51 4307.3
421 0.139 25.593 3.048 0.95 106.63 4307.3
422 0.197 25.581 2.899 0.93 106.76 4307.3
423 0.152 25.569 2.920 0.94 106.91 4307.3
424 0.156 25.557 3.001 0.94 107.05 4307.3
425 0.188 25.546 2.790 0.92 107.20 4307.3
426 0.186 25.534 3.057 0.94 107.35 4307.3
427 0.221 25.522 2.750 0.92 107.49 4307.3
428 0.175 25.510 2.985 0.93 107.61 4307.3
429 0.205 25.498 2.923 0.92 107.75 4307.3
430 0.244 25.487 2.959 0.89 107.90 4307.3
431 0.214 25.475 2.619 0.91 107.97 4307.3
433 0.180 25.463 2.762 0.93 109.71 4307.3
434 0.181 25.452 2.975 0.93 109.86 4307.3
435 0.197 25.440 2.860 0.92 110.00 4307.3
436 0.203 25.429 2.761 0.93 110.12 4307.3
437 0.240 25.417 2.771 0.90 110.26 4307.3
438 0.130 25.406 2.941 0.95 110.40 4307.3
439 0.170 25.394 2.769 0.94 110.54 4307.3
440 0.173 25.383 2.826 0.93 110.69 4307.3
441 0.152 25.371 2.898 0.95 110.84 4307.3
442 0.171 25.360 2.884 0.93 110.97 4307.3
443 0.225 25.348 2.685 0.92 111.09 4307.3
444 0.190 25.337 2.783 0.92 111.22 4307.3
445 0.145 25.325 2.640 0.94 111.36 4307.3
446 0.201 25.314 2.745 0.92 111.51 4307.3
448 0.147 25.302 2.856 0.94 113.24 4307.3
449 0.210 25.291 2.700 0.93 113.38 4307.3
450 0.169 25.280 2.694 0.94 113.52 4307.3
451 0.170 25.269 2.650 0.93 113.67 4307.3
452 0.179 25.258 2.719 0.93 113.79 4307.3
453 0.164 25.247 2.740 0.94 113.93 4307.3
454 0.133 25.236 2.827 0.95 114.08 4307.3
455 0.167 25.225 2.835 0.94 114.20 4307.3
456 0.182 25.213 2.640 0.92 114.34 4307.3
457 0.143 25.202 2.645 0.95 114.50 4307.3
458 0.206 25.191 2.568 0.93 114.63 4307.3
459 0.124 25.180 2.705 0.95 114.76 4307.3
460 0.171 25.169 2.549 0.94 114.90 4307.3
461 0.276 25.158 2.651 0.89 115.04 4307.3
463 0.197 25.147 2.598 0.92 116.78 4307.3
464 0.170 25.136 2.628 0.93 116.92 4307.3
465 0.145 25.125 2.744 0.94 117.06 4307.3
466 0.150 25.114 2.605 0.95 117.20 4307.3
467 0.161 25.103 2.580 0.94 117.34 4307.3
468 0.129 25.093 2.752 0.95 117.47 4307.3
469 0.178 25.082 2.615 0.94 117.58 4307.3
470 0.230 25.071 2.490 0.92 117.71 4307.3
471 0.246 25.060 2.473 0.90 117.85 4307.3
472 0.173 25.049 2.606 0.94 118.01 4307.3
473 0.168 25.038 2.585 0.94 118.14 4307.3
474 0.204 25.028 2.636 0.91 118.26 4307.3
475 0.133 25.017 2.615 0.95 118.40 4307.3
476 0.172 25.006 2.464 0.93 118.53 4307.3
477 0.223 24.995 2.481 0.91 118.62 4307.3
479 0.164 24.984 2.570 0.93 120.35 4307.5
480 0.240 24.974 2.627 0.92 120.51 4307.5
481 0.152 24.963 2.451 0.95 120.65 4307.5
482 0.188 24.953 2.489 0.93 120.79 4307.5
483 0.117 24.942 2.557 0.95 120.91 4307.5
484 0.161 24.931 2.391 0.94 121.03 4307.5
485 0.190 24.921 2.454 0.93 121.15 4307.5
486 0.243 24.910 2.427 0.89 121.29 4307.5
487 0.145 24.900 2.435 0.95 121.44 4307.5
488 0.177 24.889 2.342 0.92 121.58 4307.5
489 0.124 24.879 2.511 0.95 121.72 4307.5
490 0.161 24.868 2.390 0.94 121.86 4307.5
491 0.158 24.858 2.490 0.94 121.98 4307.5
492 0.182 24.847 2.333 0.93 122.11 4307.5
493 0.153 24.837 2.360 0.95 122.19 4307.5
